User ID,name,Gender,Age,EstimatedSalary,Purchased
10000,Mark Roy,Male,43,34985,0
10001,Karen Velasquez,Male,32,42707,1
10002,Laura Nichols,Female,53,71573,0
10003,Christopher Terrell,Male,56,41781,0
10004,Edward Gross,Male,30,52009,1
10005,Amanda Downs,Female,53,106881,1
10006,Richard Maldonado,Female,45,96091,0
10007,Nicholas Miller,Female,38,11164,1
10008,Mrs. Morgan Drake,Male,36,90899,-1
10009,David Robles,Female,36,8303,1
10010,Sierra Liu,Male,29,112028,0
10011,Beth Phillips,Female,43,12612,0
10012,Andrew Hamilton,Male,23,105257,0
10013,Mr. Scott Rodriguez IV,Male,46,136861,0
10014,Stephen Henderson,Male,39,115759,1
10015,Robert Buchanan,Male,58,130816,1
10016,Darren Ayala,Female,25,75967,0
10017,Leslie Ellis,Female,52,105841,0
10018,Robert Williams,Female,28,68717,-1
10019,Andrew Roy,Male,30,70786,0
10020,Kayla Bishop,Male,44,98604,1
10021,Brittany Sutton,Male,47,19136,1
10022,David Vega,Female,57,73480,1
10023,Tiffany Christensen,Male,21,129439,1
10024,Karen Kelley,Male,56,130254,0
10025,Michael Taylor,Female,46,48379,0
10026,Joseph Peterson,Female,34,47930,1
10027,Paige Branch,Male,21,30160,0
10028,Heidi Washington,Male,26,26127,1
10029,Hector Robinson,Male,29,141238,0
10030,Russell Hernandez,Female,40,62427,0
10031,Tanner Adkins,Male,27,62200,1
10032,Christopher Mcguire,Male,37,70087,0
10033,Sheila Craig,Female,41,57533,1
10034,Andrew Jimenez,Male,40,8240,1
10035,Michael Rogers,Female,34,45517,1
10036,Laurie Davis,Female,49,132550,1
10037,Brandon Torres,Female,34,103311,0
10038,Mary Mitchell,Male,40,126857,0
10039,Lisa Miller,Female,23,121003,1
10040,Russell Clark,Male,40,109355,0
10041,Lindsay Brown,Female,36,112319,0
10042,Michael Matthews,Male,46,19091,1
10043,Adriana Hartman,Female,33,27644,1
10044,Melody Sutton,Male,38,86784,0
10045,Sarah Hernandez,Female,41,55199,1
10046,Dennis Jackson,Male,37,141600,0
10047,Lindsey Morrison,Female,41,11005,0
10048,Jesus Horton,Male,53,136861,1
10049,William Hayden,Male,25,94690,1
10050,Angel Thompson,Female,45,135245,1
10051,Lauren Davis,Male,40,12712,0
10052,Matthew Frank,Male,57,21891,1
10053,Ryan Watson,Female,49,35831,1
10054,Howard Wells,Male,58,117939,0
10055,Alicia Cain,Male,33,58061,0
10056,Sophia Hanna,Male,52,51741,0
10057,Rebecca Melton,Male,23,40346,0
10058,Cole Friedman,Female,53,133476,-1
10059,Christopher Knox,Male,29,21326,1
10060,Alexander Washington,Male,33,33777,0
10061,Lawrence Baird,Male,21,95988,1
10062,Rachael Sanders,Male,49,98780,0
10063,Alicia Scott,Male,45,79237,0
10064,Kara Stewart,Female,57,89506,1
10065,Jenna Rivas,Male,27,108861,0
10066,Nicholas Owen,Female,46,80680,1
10067,James Chapman,Male,52,106585,0
10068,Ethan Allen,Female,51,12900,1
10069,Lauren Reynolds,Male,35,125781,1
10070,Justin Hernandez,Female,33,30396,0
10071,Rebecca Jones,Male,55,26564,0
10072,Diamond Thompson,Male,53,107218,1
10073,Mario Perry,Male,22,109442,0
10074,Jenna Christian,Female,37,29614,0
10075,Alexander Obrien,Female,20,120435,0
10076,Michael Lawson,Male,38,114301,1
10077,Jeffrey Thomas,Female,27,99560,1
10078,David Kelly,Male,55,48588,1
10079,Jeffrey Johnson,Female,51,84199,1
10080,Elizabeth Holmes,Female,57,90953,0
10081,Jessica Morgan,Male,59,119690,1
10082,Courtney Rodriguez,Male,55,60336,1
10083,Mark Butler,Male,27,106340,0
10084,Emma Stevens,Male,44,45824,0
10085,Lori Dyer,Male,45,135798,0
10086,Victor Smith,Female,31,106333,1
10087,Debra Rojas,Female,42,91324,0
10088,Nicholas Franklin,Male,20,108039,0
10089,Mark Brown,Male,59,72365,0
10090,Alan Mcintyre,Female,25,113466,0
10091,Evan Elliott,Male,39,19541,1
10092,Melissa Hale,Female,59,95804,1
10093,Leonard Sharp,Female,58,20196,0
10094,James Bush,Female,51,65776,0
10095,Ashley Matthews,Female,50,43525,1
10096,Tom Torres,Female,32,36813,1
10097,Kaitlin Clark,Female,42,21822,0
10098,Michael Collins,Female,36,134225,0
